species,longitude,latitude
Plagioscion_squamosissimus,-54.4678,4.3798
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-54.3775,4.2899
Plagioscion_squamosissimus,-52.5763,4.0244
Plagioscion_squamosissimus,-52.7581,4.7475
Plagioscion_squamosissimus,-54.104,3.2974
Plagioscion_squamosissimus,-54.3819,5.193
Plagioscion_squamosissimus,-52.5762,3.934
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-54.4678,4.3798
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.3964,4.1152
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-53.8438,5.7378
Plagioscion_squamosissimus,-54.1055,3.749
Plagioscion_squamosissimus,-52.8485,4.8377
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-53.934,5.7373
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.6658,3.753
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-53.8346,3.3885
Plagioscion_squamosissimus,-52.4849,3.2107
Plagioscion_squamosissimus,-54.286,3.929
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-52.9397,5.1991
Plagioscion_squamosissimus,-52.7588,5.0187
Plagioscion_squamosissimus,-54.3775,4.2899
Plagioscion_squamosissimus,-53.0293,5.018
Plagioscion_squamosissimus,-53.9245,3.3883
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-53.934,5.7373
Plagioscion_squamosissimus,-53.3912,5.3783
Plagioscion_squamosissimus,-52.8485,4.8377
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-54.1957,3.839
